,id,jobid,resultdata,clazz,?column?
0,1763,242,152,org.andstatus.app.note.NoteContextMenuItem,"[""org.andstatus.app.note.NoteContextMenuItem"",""org.andstatus.app.service.CommandEnum"",""org.andstatus.app.note.NoteEditorData""]"
1,1770,235,153,org.andstatus.app.account.MyAccount$Builder,"[""org.andstatus.app.account.MyAccount$Builder"",""android.accounts.Account""]"
2,1779,231,155,org.andstatus.app.util.DialogFactory$3,"[""org.andstatus.app.util.DialogFactory$3"",""android.content.DialogInterface"",""int""]"
3,1790,239,157,org.andstatus.app.notification.Notifier,"[""void"",""org.andstatus.app.notification.NotificationData""]"
4,1819,251,163,com.gianlu.aria2lib.Aria2Ui,"[""void"",""java.lang.Class""]"
5,1834,256,166,com.gianlu.aria2lib.Interface.DownloadBinActivity,"[""com.gianlu.aria2lib.Interface.DownloadBinActivity"",""android.view.Menu""]"
6,1852,261,170,com.gianlu.commonutils.CasualViews.InfiniteRecyclerView$InfiniteAdapter,"[""void"",""com.gianlu.commonutils.CasualViews.InfiniteRecyclerView$InfiniteAdapter""]"
7,1865,263,172,com.gianlu.aria2android.MainActivity,"[""com.gianlu.aria2android.MainActivity"",""android.view.Menu""]"
8,1874,262,174,com.gianlu.aria2lib.Interface.ConfigEditorActivity,"[""com.gianlu.aria2lib.Interface.ConfigEditorActivity"",""android.os.Bundle""]"
9,1937,278,187,com.lyonbros.turtl.MainActivity,"[""com.lyonbros.turtl.MainActivity"",""android.os.Bundle""]"
10,2044,247,208,org.andstatus.app.account.AccountSettingsWebActivity,"[""org.andstatus.app.account.AccountSettingsWebActivity"",""android.os.Bundle""]"
11,2065,300,212,com.duckduckgo.app.bookmarks.ui.EditBookmarkDialogFragment,"[""com.duckduckgo.app.bookmarks.ui.EditBookmarkDialogFragment""]"
12,2080,303,215,com.health.openscale.gui.activities.UserSettingsActivity$8,"[""com.health.openscale.gui.activities.UserSettingsActivity$8"",""android.content.DialogInterface"",""int""]"
13,2085,304,216,com.health.openscale.gui.MainActivity$7,"[""com.health.openscale.gui.MainActivity$7"",""android.content.DialogInterface"",""int""]"
14,2086,308,217,com.health.openscale.gui.preferences.BackupPreferences,"[""com.health.openscale.gui.preferences.BackupPreferences"",""android.preference.Preference""]"
15,2095,306,218,com.health.openscale.gui.MainActivity,"[""com.health.openscale.gui.MainActivity"",""int"",""int"",""android.content.Intent""]"
16,2156,320,231,com.health.openscale.gui.activities.BaseAppCompatActivity,"[""void"",""android.content.Context""]"
17,2160,320,231,com.health.openscale.gui.preferences.BackupPreferences,"[""com.health.openscale.gui.preferences.BackupPreferences""]"
