,id,jobid,resultdata,clazz,?column?
0,1759,236,151,org.andstatus.app.timeline.LoadableListActivity$AsyncLoader,"[""org.andstatus.app.timeline.LoadableListActivity$AsyncLoader"",""java.lang.String[]""]"
1,1818,251,163,com.gianlu.aria2lib.Aria2Ui,"[""void"",""com.gianlu.aria2lib.Aria2Ui"",""com.gianlu.aria2lib.Aria2Ui$LogMessage""]"
2,1826,254,165,com.gianlu.aria2lib.Interface.DownloadBinActivity,"[""com.gianlu.aria2lib.Interface.DownloadBinActivity"",""java.lang.Exception""]"
3,1833,256,166,com.gianlu.aria2lib.GitHubApi,"[""com.gianlu.aria2lib.GitHubApi"",""java.lang.Runnable""]"
4,1846,257,169,com.gianlu.commonutils.CasualViews.RecyclerViewLayout,"[""com.gianlu.commonutils.CasualViews.RecyclerViewLayout"",""int"",""java.lang.Object[]""]"
5,1850,257,169,com.gianlu.commonutils.Preferences.Prefs,"[""void"",""java.lang.String"",""long""]"
6,1856,258,171,com.gianlu.commonutils.CasualViews.RecyclerViewLayout,"[""com.gianlu.commonutils.CasualViews.RecyclerViewLayout"",""androidx.recyclerview.widget.RecyclerView$LayoutManager""]"
7,1869,264,173,com.gianlu.commonutils.LogsActivity$1,"[""com.gianlu.commonutils.LogsActivity$1"",""android.widget.AdapterView"",""android.view.View"",""int"",""long""]"
8,1871,262,174,com.gianlu.aria2lib.Interface.DownloadBinActivity,"[""com.gianlu.aria2lib.Interface.DownloadBinActivity"",""java.util.List""]"
9,1875,262,174,com.gianlu.commonutils.Logging$LogLineAdapter,"[""com.gianlu.commonutils.Logging$LogLineAdapter""]"
10,2004,287,200,com.duckduckgo.app.survey.ui.SurveyActivity$$special$$inlined$bindViewModel$1,"[""com.duckduckgo.app.survey.ui.SurveyActivity$$special$$inlined$bindViewModel$1""]"
11,2015,291,202,com.duckduckgo.app.survey.api.SurveyDownloader,"[""void"",""com.duckduckgo.app.survey.api.SurveyDownloader""]"
12,2020,293,203,com.duckduckgo.app.browser.BrowserTabFragment$configureOmnibarTextInput$1,"[""com.duckduckgo.app.browser.BrowserTabFragment$configureOmnibarTextInput$1"",""android.view.View"",""boolean""]"
13,2036,290,207,com.duckduckgo.app.httpsupgrade.HttpsUpgraderImpl,"[""com.duckduckgo.app.httpsupgrade.HttpsUpgraderImpl""]"
14,2048,296,209,com.duckduckgo.app.browser.BrowserActivity$launchNewSearchOrQuery$1,"[""com.duckduckgo.app.browser.BrowserActivity$launchNewSearchOrQuery$1"",""java.lang.Object""]"
15,2063,300,212,com.duckduckgo.app.trackerdetection.TrackerDetectorImpl$addClient$1,"[""com.duckduckgo.app.trackerdetection.TrackerDetectorImpl$addClient$1"",""com.duckduckgo.app.trackerdetection.Client""]"
16,2070,298,213,com.duckduckgo.app.global.view.ActivityExtensionKt,"[""void"",""android.content.Context""]"
17,2073,302,214,com.duckduckgo.app.bookmarks.ui.BookmarksActivity$confirmDeleteBookmark$1$1,"[""com.duckduckgo.app.bookmarks.ui.BookmarksActivity$confirmDeleteBookmark$1$1"",""android.content.DialogInterface""]"
18,2078,303,215,com.health.openscale.gui.fragments.GraphFragment,"[""void"",""com.health.openscale.gui.fragments.GraphFragment""]"
19,2104,310,220,com.health.openscale.gui.activities.UserSettingsActivity,"[""void"",""com.health.openscale.gui.activities.UserSettingsActivity""]"
20,2110,307,221,com.health.openscale.gui.activities.UserSettingsActivity,"[""com.health.openscale.gui.activities.UserSettingsActivity""]"
21,2112,305,222,com.health.openscale.gui.fragments.OverviewFragment$2,"[""com.health.openscale.gui.fragments.OverviewFragment$2"",""android.view.View""]"
22,2138,311,227,com.health.openscale.gui.preferences.BackupPreferences,"[""void"",""com.health.openscale.gui.preferences.BackupPreferences""]"
23,2162,318,232,com.health.openscale.gui.fragments.GraphFragment,"[""void"",""com.health.openscale.gui.fragments.GraphFragment""]"
24,2175,319,234,com.health.openscale.gui.preferences.BackupPreferences,"[""com.health.openscale.gui.preferences.BackupPreferences"",""int"",""int"",""android.content.Intent""]"
